mes,precio
2017-01,17.606310679611653
2017-02,17.62601151898734
2017-03,17.66918232884728
2017-04,17.21749469857619
2017-05,17.470666666666666
2017-06,16.45
2017-07,18.199452887537994
2017-08,18.3125
2017-09,18.761666666666667
2017-10,19.816642810670135
2017-11,20.284871794871794
2017-12,21.035097327614647
2018-01,21.863949685534593
2018-02,22.66926797385621
2018-03,22.994
2018-04,23.27163064833006
2018-05,24.27655172413793
2018-06,24.33343729694607
2018-07,25.979358941745105
2018-08,27.775758605600934
2018-09,31.42873664153757
2018-10,35.44173333333333
2018-11,35.83031602708804
2018-12,36.933796356538714
2019-01,36.55767673521851
2019-02,37.1817614379085
2019-03,39.17636867862969
2019-04,41.973752393107844
2019-05,42.388775510204084
2019-06,42.66935797665369
2019-07,43.3950289017341
2019-08,44.97125
2019-09,45.204596153846154
2019-10,47.8775
2019-11,48.66206747681484
2019-12,53.172401524777634
2020-01,53.00020000000001
2020-02,54.094375
2020-03,54.51363636363636
2020-04,53.24666666666667
2020-05,53.13857142857143
2020-06,55.375
2020-07,53.970000000000006
2020-08,55.62110476190477
2020-09,57.90287671232877
2020-10,60.099761156505345
2020-11,62.186687898089176
2020-12,65.59716135458167
2021-01,69.92156176269123
2021-02,74.10093375702762
2021-03,80.19517176764522
2021-04,85.15817554858934
2021-05,89.70146158650844
2021-06,89.85999999999999
2021-07,90.73333333333333
2021-08,89.34
2021-09,90.0
2021-10,68.775
2021-11,88.4196
2021-12,92.55
2022-01,91.4076923076923
2022-02,106.41867683092839
2022-03,109.73261538461539
2022-04,124.76666666666668
2022-05,123.16244131455399
2022-06,136.8049088256747
2022-07,144.73333333333335
2022-08,151.89565217391305
2022-09,146.32592592592593
2022-10,164.42596212583993
2022-11,177.94467956469165
2022-12,186.256336996337
2023-01,193.87394265232973
2023-02,204.60165304268847
2023-03,212.7275711795468
2023-04,224.41520073551948
2023-05,235.07521664766247
2023-06,249.4552147239264
2023-07,260.5279975654291
2023-08,289.38900885688014
2023-09,306.9777777777778
2023-10,315.89004276114844
2023-11,367.59790273556234
2023-12,572.4479144385027
2024-01,833.8876081871346
2024-02,886.668221574344
2024-03,952.1880787037037
2024-04,999.0947556615018
2024-05,1038.5564032697548
2024-06,1065.720756727951
2024-07,1099.2865707434053
2024-08,1123.6047591410331
2024-09,1153.636990407674
2024-10,1131.2110862262039
2024-11,1164.615291262136
2024-12,1187.0860805860807
2025-01,1208.6632835820897
2025-02,1230.2891923990499
2025-03,1259.8148831488315
2025-04,1283.0650506290274
2025-05,1247.5662613981763
2025-06,1264.0867862969005
2025-07,1338.927536231884
2025-08,1399.657627118644
2025-09,1471.7272727272727
