day,precio
2017-01-01,17.118518518518517
2017-01-02,18.25
2017-01-05,17.67
2017-01-08,18.25
2017-01-09,16.85
2017-01-10,17.605
2017-01-11,17.396575342465756
2017-01-12,17.669391592920352
2017-01-13,17.625
2017-01-14,17.515
2017-01-16,17.78
2017-01-17,16.47222222222222
2017-01-18,18.355
2017-01-19,17.279999999999998
2017-01-20,17.7
2017-01-24,17.29
2017-01-26,17.130000000000003
2017-01-28,17.59
2017-01-29,17.97
2017-01-31,17.36111111111111
2017-02-01,17.84952380952381
2017-02-02,17.47947368421053
2017-02-03,17.549999999999997
2017-02-04,17.552500000000002
2017-02-05,16.85
2017-02-06,16.781666666666666
2017-02-07,17.927543749999998
2017-02-08,17.820731707317073
2017-02-09,17.978978723404254
2017-02-10,17.76394625
2017-02-11,17.81470588235294
2017-02-12,17.0
2017-02-13,18.062
2017-02-14,17.601666666666667
2017-02-15,17.216666666666665
2017-02-16,17.434
2017-02-17,17.938181818181818
2017-02-18,17.73
2017-02-20,17.688181818181818
2017-02-21,18.055714285714284
2017-02-22,16.3825
2017-02-23,17.386363636363637
2017-02-24,17.7925
2017-02-25,18.09
2017-02-28,17.51
2017-03-01,17.883018867924527
2017-03-02,17.283846153846152
2017-03-03,17.653333333333332
2017-03-04,17.8675
2017-03-05,17.59
2017-03-06,17.67780303030303
2017-03-07,17.499000000000002
2017-03-08,17.980869565217393
2017-03-09,17.99104625
2017-03-10,17.782972972972974
2017-03-11,16.978
2017-03-12,16.955
2017-03-13,17.943
2017-03-14,17.576740331491713
2017-03-15,17.58
2017-03-16,17.77
2017-03-17,17.881999999999998
2017-03-18,17.29
2017-03-20,17.615
2017-03-21,17.56157894736842
2017-03-22,17.9575
2017-03-23,17.75967391304348
2017-03-24,18.25
2017-03-25,17.830000000000002
2017-03-26,18.21
2017-03-27,17.655217391304348
2017-03-28,17.4979649122807
2017-03-29,17.72346153846154
2017-03-30,17.656060365369342
2017-03-31,17.972857142857144
2017-04-01,16.76125
2017-04-03,16.73
2017-04-04,17.93
2017-04-05,17.21642969984202
2017-04-06,17.716875
2017-04-07,17.229375
2017-04-08,17.49
2017-04-10,17.39
2017-04-12,16.34
2017-04-17,17.3375
2017-04-19,17.75
2017-04-20,17.26
2017-04-21,17.67
2017-04-25,16.99
2017-04-26,15.344999999999999
2017-04-28,17.025
2017-05-01,17.582
2017-05-02,17.05
2017-05-03,17.69
2017-05-04,16.9
2017-05-05,17.78
2017-05-10,16.85
2017-05-15,17.26
2017-05-17,17.74
2017-05-19,18.25
2017-06-05,16.87
2017-06-07,17.78
2017-06-08,17.8
2017-06-13,13.35
2017-07-01,17.978571428571428
2017-07-02,18.193581475128646
2017-07-03,18.627735849056602
2017-07-04,18.476666666666667
2017-07-05,18.375
2017-07-06,18.143333333333334
2017-07-07,18.875
2017-07-08,18.538
2017-07-10,17.69
2017-07-11,19.5
2017-07-12,18.68
2017-07-24,18.2
2017-08-01,18.38
2017-08-03,17.2
2017-08-04,18.38
2017-08-06,18.85
2017-08-10,18.49
2017-08-11,17.37
2017-08-14,18.85
2017-09-05,18.72
2017-09-21,19.29
2017-09-28,18.9
2017-09-29,18.55333333333333
2017-10-03,18.54
2017-10-04,20.95
2017-10-05,19.195
2017-10-06,18.49
2017-10-09,18.296363636363637
2017-10-10,18.5
2017-10-11,18.2
2017-10-18,18.516666666666666
2017-10-19,17.88
2017-10-20,18.07
2017-10-22,18.73
2017-10-23,19.831264290517822
2017-10-24,20.378888888888888
2017-10-25,20.062
2017-10-26,20.073333333333334
2017-10-27,19.58
2017-10-30,19.936
2017-10-31,20.875
2017-11-01,20.824
2017-11-02,20.25
2017-11-03,20.44333333333333
2017-11-04,19.8
2017-11-06,19.62
2017-11-07,19.39
2017-11-08,20.08666666666667
2017-11-09,20.4
2017-11-10,20.134999999999998
2017-11-30,19.84
2017-12-01,18.09
2017-12-02,21.024054514480408
2017-12-03,21.68
2017-12-04,21.39
2017-12-05,21.153333333333332
2017-12-06,21.566666666666666
2017-12-07,20.816666666666666
2017-12-12,21.616666666666664
2017-12-13,21.365000000000002
2017-12-16,21.65
2017-12-20,22.16
2017-12-26,21.78
2018-01-02,26.16
2018-01-03,20.61
2018-01-05,21.026190476190475
2018-01-06,21.05
2018-01-09,21.075384615384618
2018-01-10,21.50714285714286
2018-01-11,19.59
2018-01-13,21.8675
2018-01-14,22.68
2018-01-15,22.97
2018-01-16,21.600625
2018-01-17,22.683333333333334
2018-01-18,22.277272727272727
2018-01-19,21.958
2018-01-22,22.363333333333333
2018-01-23,21.1925
2018-01-24,21.881264445955132
2018-01-25,21.93
2018-01-26,22.165
2018-01-27,22.163333333333338
2018-01-31,21.7525
2018-02-01,22.39
2018-02-02,22.8175
2018-02-04,22.083333333333332
2018-02-05,22.03333333333333
2018-02-06,22.66012615069894
2018-02-07,23.057826086956524
2018-02-08,22.84
2018-02-09,23.06368421052632
2018-02-10,23.020000000000003
2018-02-13,22.41
2018-02-14,23.25
2018-02-15,23.695
2018-02-22,20.27
2018-02-28,24.49
2018-03-01,23.744545454545456
2018-03-02,22.47
2018-03-06,22.234545454545454
2018-03-08,22.96
2018-03-13,23.626
2018-03-20,23.47
2018-03-26,22.37
2018-03-28,23.2
2018-04-05,24.128823529411765
2018-04-06,24.485
2018-04-07,24.305
2018-04-10,23.505
2018-04-11,23.25180829367777
2018-04-12,22.926
2018-04-13,22.872857142857146
2018-04-14,23.975
2018-04-16,25.439999999999998
2018-04-17,22.56
2018-04-19,23.455
2018-04-25,23.07
2018-04-26,23.59
2018-04-30,23.99
2018-05-02,23.625
2018-05-03,23.9025
2018-05-04,24.005
2018-05-06,29.5
2018-05-08,23.67
2018-05-11,24.79
2018-05-16,24.98
